domain_accession,domain_name,domain_type,protein_start,protein_end,genomic_start,genomic_end,number_of_ta_sites,es_sites,gd_sites,ne_sites,ga_sites,mean_read_count,median_read_count,essential_fraction,es_or_gd_fraction,orf_id,gene_name,product,strand,protein_id,uniprot_accession
IPR000253,Forkhead-associated (FHA) domain,domain,454,518,23891,24085,2,2,0,0,0,0.0,0.0,1.0,1.0,Rv0020c,fhaA,cell division-associated protein FhaA,-,WP_003912368.1,P71590
IPR008984,SMAD/FHA domain superfamily,homologous_superfamily,398,525,23870,24253,10,10,0,0,0,0.2,0.0,1.0,1.0,Rv0020c,fhaA,cell division-associated protein FhaA,-,WP_003912368.1,P71590
IPR022128,"FhaA, N-terminal domain",domain,9,121,25082,25420,6,0,0,6,0,2434.483333333333,2204.3,0.0,0.0,Rv0020c,fhaA,cell division-associated protein FhaA,-,WP_003912368.1,P71590
IPR042287,"FhaA, N-terminal domain superfamily",homologous_superfamily,1,132,25049,25444,8,0,0,8,0,1896.3374999999999,1520.4,0.0,0.0,Rv0020c,fhaA,cell division-associated protein FhaA,-,WP_003912368.1,P71590
IPR050923,Cellular Process Regulator and RNA Processing Protein,family,434,521,23882,24145,4,4,0,0,0,0.0,0.0,1.0,1.0,Rv0020c,fhaA,cell division-associated protein FhaA,-,WP_003912368.1,P71590
IPR001031,Thioesterase,domain,1178,1392,489265,489909,27,0,10,17,0,680.3962962962963,49.4,0.0,0.37037037037037035,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR001227,Acyl transferase domain superfamily,homologous_superfamily,632,928,487627,488517,11,0,0,11,0,829.1727272727272,765.9,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR006162,Phosphopantetheine attachment site,ptm,1047,1062,488872,488919,4,0,0,4,0,4057.1,3606.45,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR009081,Phosphopantetheine binding ACP domain,domain,5,83,485746,485982,13,0,0,13,0,116.96923076923078,0.0,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR009081,Phosphopantetheine binding ACP domain,domain,1017,1092,488782,489009,9,0,0,9,0,3823.2999999999997,2056.2,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR014030,"Beta-ketoacyl synthase-like, N-terminal domain",domain,107,346,486052,486771,32,6,15,11,0,191.728125,14.35,0.1875,0.65625,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR014031,"Beta-ketoacyl synthase, C-terminal domain",domain,354,469,486793,487140,10,0,7,3,0,215.31,42.25,0.0,0.7,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR014043,Acyl transferase domain,domain,633,942,487630,488559,11,0,0,11,0,829.1727272727272,765.9,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR016035,Acyl transferase/acyl hydrolase/lysophospholipase,homologous_superfamily,631,922,487624,488499,11,0,0,11,0,829.1727272727272,765.9,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR016036,"Malonyl-CoA ACP transacylase, ACP-binding",homologous_superfamily,757,818,488002,488187,1,0,0,1,0,765.9,765.9,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR016039,Thiolase-like,homologous_superfamily,100,536,486031,487341,47,6,23,18,0,280.50638297872337,34.6,0.1276595744680851,0.6170212765957447,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR020802,Thioesterase TesA-like,domain,1167,1393,489232,489912,30,0,13,17,0,616.1133333333333,46.95,0.0,0.43333333333333335,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR020806,"Polyketide synthase-like, phosphopantetheine-binding domain",domain,12,83,485767,485982,12,0,0,12,0,126.71666666666668,38.5,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR020806,"Polyketide synthase-like, phosphopantetheine-binding domain",domain,1020,1092,488791,489009,9,0,0,9,0,3823.2999999999997,2056.2,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR020841,"Polyketide synthase, beta-ketoacyl synthase domain",domain,106,525,486049,487308,46,6,23,17,0,245.1130434782609,33.55,0.13043478260869565,0.6304347826086957,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR029058,Alpha/Beta hydrolase fold,homologous_superfamily,1050,1397,488881,489924,43,0,14,29,0,1009.5418604651163,106.6,0.0,0.32558139534883723,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR032821,"Polyketide synthase, C-terminal extension",domain,474,597,487153,487524,4,0,0,4,0,1644.675,1163.3000000000002,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR036736,ACP-like superfamily,homologous_superfamily,2,121,485737,486096,16,0,0,16,0,274.09375,119.95,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR036736,ACP-like superfamily,homologous_superfamily,999,1103,488728,489042,9,0,0,9,0,3823.2999999999997,2056.2,0.0,0.0,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR050091,Polyketide and Nonribosomal Peptide Biosynthesis Enzymes,family,91,975,486004,488658,62,6,23,33,0,578.1564516129032,54.7,0.0967741935483871,0.46774193548387094,Rv0405,,type I polyketide synthase,+,WP_003911169.1,O86335
IPR000731,Sterol-sensing-like domain,domain,220,335,246314,246661,6,6,0,0,0,0.16666666666666666,0.0,1.0,1.0,Rv0206c,mmpL3,trehalose monomycolate RND transporter MmpL3,-,WP_003899855.1,P9WJV5
IPR004869,Membrane transport protein MMPL domain,domain,47,340,246299,247180,11,11,0,0,0,0.09090909090909091,0.0,1.0,1.0,Rv0206c,mmpL3,trehalose monomycolate RND transporter MmpL3,-,WP_003899855.1,P9WJV5
IPR004869,Membrane transport protein MMPL domain,domain,427,735,245114,246040,11,11,0,0,0,0.9636363636363636,0.0,1.0,1.0,Rv0206c,mmpL3,trehalose monomycolate RND transporter MmpL3,-,WP_003899855.1,P9WJV5
IPR050545,HpnN/MmpL-like transporters,family,2,742,245093,247315,31,31,0,0,0,0.3741935483870968,0.0,1.0,1.0,Rv0206c,mmpL3,trehalose monomycolate RND transporter MmpL3,-,WP_003899855.1,P9WJV5
IPR064387,Trehalose monomycolate exporter MmpL3,family,1,860,244739,247318,31,31,0,0,0,0.3741935483870968,0.0,1.0,1.0,Rv0206c,mmpL3,trehalose monomycolate RND transporter MmpL3,-,WP_003899855.1,P9WJV5
IPR046672,Protein of unknown function DUF6542,domain,23,141,1237775,1238131,9,8,0,1,0,174.4,0.0,0.8888888888888888,0.8888888888888888,Rv1111c,,DUF6542 domain-containing protein,-,WP_003898731.1,O86351
IPR003439,"ABC transporter-like, ATP-binding domain",domain,610,843,1514880,1515581,15,0,8,7,0,118.8,31.0,0.0,0.5333333333333333,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR003593,AAA+ ATPase domain,domain,635,820,1514955,1515512,11,0,7,4,0,83.01818181818182,31.0,0.0,0.6363636363636364,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR007037,"SIP-like, Rossmann fold domain",domain,130,241,1513440,1513775,7,7,0,0,0,1.2,0.0,1.0,1.0,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR011527,"ABC transporter type 1, transmembrane domain",domain,294,575,1513932,1514777,11,0,0,11,0,459.1,169.7,0.0,0.0,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR013113,"Siderophore-interacting, FAD-binding",domain,60,113,1513230,1513391,4,4,0,0,0,0.0,0.0,1.0,1.0,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR017927,"FAD-binding domain, ferredoxin reductase-type",domain,15,122,1513095,1513418,4,4,0,0,0,0.0,0.0,1.0,1.0,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR017938,Riboflavin synthase-like beta-barrel,homologous_superfamily,14,117,1513092,1513403,4,4,0,0,0,0.0,0.0,1.0,1.0,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR027417,P-loop containing nucleoside triphosphate hydrolase,homologous_superfamily,605,853,1514865,1515611,15,0,8,7,0,118.8,31.0,0.0,0.5333333333333333,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR036640,"ABC transporter type 1, transmembrane domain superfamily",homologous_superfamily,280,591,1513890,1514825,12,0,0,12,0,426.425,153.3,0.0,0.0,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR039261,"Ferredoxin-NADP reductase (FNR), nucleotide-binding domain",homologous_superfamily,125,262,1513425,1513838,7,7,0,0,0,1.2,0.0,1.0,1.0,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR039421,Type 1 protein exporter,family,304,840,1513962,1515572,26,0,8,18,0,262.7730769230769,76.1,0.0,0.3076923076923077,Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9
IPR049829,Alpha-(1->6)-mannopyranosyltransferase A-like,family,20,550,1644495,1646087,22,18,0,4,0,42.60454545454545,0.0,0.8181818181818182,0.8181818181818182,Rv1459c,mptB,polyprenol phosphomannose-dependent alpha 1%2C6 mannosyltransferase MptB,-,WP_003911542.1,O53150
IPR000064,"Endopeptidase, NLPC/P60 domain",domain,340,472,1668013,1668411,11,0,0,11,0,587.1454545454545,640.0,0.0,0.0,Rv1477,ripA,NlpC/P60 family peptidoglycan endopeptidase RipA,+,WP_003407523.1,O53168
IPR038765,Papain-like cysteine peptidase superfamily,homologous_superfamily,341,469,1668016,1668402,10,0,0,10,0,515.79,553.7,0.0,0.0,Rv1477,ripA,NlpC/P60 family peptidoglycan endopeptidase RipA,+,WP_003407523.1,O53168
IPR049836,Peptidoglycan endopeptidase RipA,family,23,472,1667062,1668411,24,12,0,12,0,270.09166666666664,7.65,0.5,0.5,Rv1477,ripA,NlpC/P60 family peptidoglycan endopeptidase RipA,+,WP_003407523.1,O53168
IPR051794,Peptidoglycan endopeptidase RipA/RipB-like,family,118,470,1667347,1668405,19,8,0,11,0,272.15263157894736,13.0,0.42105263157894735,0.42105263157894735,Rv1477,ripA,NlpC/P60 family peptidoglycan endopeptidase RipA,+,WP_003407523.1,O53168
IPR001640,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase Lgt,family,1,279,1813178,1814014,24,22,2,0,0,1.3458333333333332,0.0,0.9166666666666666,1.0,Rv1614,lgt,prolipoprotein diacylglyceryl transferase,+,WP_003408002.1,P9WK93
IPR001098,"DNA-directed DNA polymerase, family A, palm domain",domain,526,900,1832247,1833371,14,0,13,1,0,84.61428571428571,7.8500000000000005,0.0,0.9285714285714286,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR002298,DNA polymerase A,family,358,902,1831743,1833377,24,0,23,1,0,61.925000000000004,1.0,0.0,0.9583333333333334,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR002421,5'-3' exonuclease,domain,13,275,1830708,1831496,13,13,0,0,0,1.2923076923076924,0.0,1.0,1.0,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR002562,3'-5' exonuclease domain,domain,317,493,1831620,1832150,12,0,8,4,0,56.975,5.2,0.0,0.6666666666666666,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR008918,"Helix-hairpin-helix motif, class 2",conserved_site,187,222,1831230,1831337,5,5,0,0,0,0.0,0.0,1.0,1.0,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR012337,Ribonuclease H-like superfamily,homologous_superfamily,323,493,1831638,1832150,12,0,8,4,0,56.975,5.2,0.0,0.6666666666666666,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR018320,DNA polymerase 1,family,17,902,1830720,1833377,41,13,23,5,0,52.58536585365854,0.0,0.3170731707317073,0.8780487804878049,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR019760,"DNA-directed DNA polymerase, family A, conserved site",conserved_site,729,748,1832856,1832915,3,0,3,0,0,0.0,0.0,0.0,1.0,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
