orf_id,status,gene_name,product,strand,protein_id,uniprot_accession,uniprot_id,protein_length,ta_sites,interpro_records,domain_assignments,domain_summary_rows,error_message
Rv0020c,success,fhaA,cell division-associated protein FhaA,-,WP_003912368.1,P71590,FHAA_MYCTU,527.0,52.0,5.0,30.0,5.0,
Rv0405,success,,type I polyketide synthase,+,WP_003911169.1,O86335,O86335_MYCTU,1402.0,121.0,21.0,407.0,20.0,
Rv0018c,uniprot_search_failed,pstP,serine/threonine phosphatase PstP,-,WP_003912367.1,,,,,,,,"{'query': '(WP_003912367) AND (organism_id:83332)', 'status_code': 200, 'message': 'No results returned'}"
Rv0206c,success,mmpL3,trehalose monomycolate RND transporter MmpL3,-,WP_003899855.1,P9WJV5,MMPL3_MYCTU,944.0,34.0,5.0,90.0,5.0,
Rv1111c,success,,DUF6542 domain-containing protein,-,WP_003898731.1,O86351,O86351_MYCTU,327.0,25.0,1.0,9.0,1.0,
Rv1348,success,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,WP_003406958.1,P9WQJ9,IRTA_MYCTU,859.0,38.0,12.0,116.0,11.0,
Rv1459c,success,mptB,polyprenol phosphomannose-dependent alpha 1%2C6 mannosyltransferase MptB,-,WP_003911542.1,O53150,Y1459_MYCTU,591.0,26.0,1.0,22.0,1.0,
Rv1477,success,ripA,NlpC/P60 family peptidoglycan endopeptidase RipA,+,WP_003407523.1,O53168,RIPA_MYCTU,472.0,25.0,4.0,64.0,4.0,
Rv1614,success,lgt,prolipoprotein diacylglyceryl transferase,+,WP_003408002.1,P9WK93,LGT_MYCTU,468.0,27.0,1.0,24.0,1.0,
Rv1629,success,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5,DPO1_MYCTU,904.0,42.0,15.0,184.0,15.0,
Rv1702c,success,,HNH endonuclease signature motif containing protein,-,WP_003898977.1,P9WLT3,Y1702_MYCTU,454.0,24.0,2.0,21.0,2.0,
Rv2051c,success,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493,PPMNT_MYCTU,874.0,33.0,7.0,83.0,7.0,
Rv2154c,success,ftsW,putative lipid II flippase FtsW,-,WP_003411165.1,P9WN97,FTSW_MYCTU,524.0,18.0,3.0,27.0,3.0,
Rv2163c,success,pbpB,D%2CD-transpeptidase PbpB,-,WP_003411214.1,L0T911,PBPB_MYCTU,679.0,30.0,5.0,83.0,5.0,
Rv2362c,success,recO,DNA repair protein RecO,-,WP_003412222.1,P9WHI5,RECO_MYCTU,265.0,11.0,5.0,26.0,5.0,
Rv2444c,success,rne,Rne/Rng family ribonuclease,-,WP_003899322.1,P71905,RNE_MYCTU,953.0,30.0,5.0,65.0,5.0,
Rv2516c,interpro_failed,,helix-turn-helix transcriptional regulator,-,WP_003412932.1,I6YDM0,I6YDM0_MYCTU,267.0,,,,,
Rv2581c,success,,MBL fold metallo-hydrolase,-,WP_003413366.1,P9WMW3,Y2581_MYCTU,224.0,7.0,3.0,21.0,3.0,
Rv2586c,success,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9,SECF_MYCTU,442.0,19.0,9.0,55.0,8.0,
Rv2609c,success,,NUDIX hydrolase,-,WP_003413475.1,I6YDV4,I6YDV4_MYCTU,351.0,13.0,3.0,12.0,2.0,
Rv3198c,success,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9,UVRD2_MYCTU,700.0,35.0,8.0,104.0,8.0,
Rv3240c,success,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5,SECA1_MYCTU,949.0,47.0,13.0,188.0,12.0,
Rv3603c,success,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279,O06279_MYCTU,303.0,13.0,5.0,27.0,5.0,
Rv3608c,success,folP,dihydropteroate synthase,-,WP_003899596.1,P9WND1,DHPS1_MYCTU,280.0,9.0,4.0,33.0,4.0,
Rv3709c,success,ask,aspartate kinase,-,WP_003419828.1,P9WPX3,AK_MYCTU,421.0,15.0,10.0,60.0,10.0,
Rv3843c,success,,DUF4328 domain-containing protein,-,WP_003899726.1,P96235,P96235_MYCTU,342.0,18.0,1.0,8.0,1.0,
Rv3863,uniprot_search_failed,,FHA domain-containing protein,+,WP_015288657.1,,,,,,,,"{'query': '(WP_015288657) AND (organism_id:83332)', 'status_code': 200, 'message': 'No results returned'}"
Rv3910,success,murJ,murein biosynthesis integral membrane protein MurJ,+,WP_003902580.1,P9WJK3,MVINL_MYCTU,1184.0,54.0,2.0,57.0,2.0,
Rv3921c,success,yidC,membrane protein insertase YidC,-,WP_003899765.1,P9WIT5,YIDC_MYCTU,366.0,23.0,3.0,51.0,3.0,
